,weight_mid_lbs,height_mid_inches,Breed
0,100.0,27.0,Akita
1,125.0,28.0,Anatolian Sheepdog
2,97.5,25.0,Bernese Mountain Dog
3,100.0,25.0,Bloodhound
4,85.0,27.0,Borzoi
5,115.0,26.0,Bullmastiff
6,140.0,32.0,Great Dane
7,107.5,29.5,Great Pyrenees
8,140.0,25.5,Great Swiss Mountain Dog
9,120.0,31.5,Irish Wolfhound
10,95.0,29.0,Kuvasz
11,182.5,28.5,Mastiff
12,125.0,27.0,Neopolitan Mastiff
13,125.0,27.0,Newfoundland
14,87.5,25.0,Otter Hound
15,100.0,24.5,Rottweiler
16,150.0,26.5,Saint Bernard
17,55.0,26.0,Afghan Hound
18,67.5,23.5,American Foxhound
19,110.0,25.5,Beauceron
20,62.5,24.0,Belgian Malinois
21,67.5,24.0,Belgian Sheepdog
22,67.5,24.0,Belgian Tervuren
23,62.5,25.0,Black And Tan Coonhound
24,110.0,27.0,Black Russian Terrier
25,85.0,25.0,Bouvier Des Flandres
26,67.5,23.0,Boxer
27,75.0,25.0,Briard
28,65.0,23.5,Chesapeake Bay Retriever
29,50.0,19.5,Clumber Spaniel
30,62.5,24.0,Collie (Rough) & (Smooth)
31,72.5,26.0,Curly Coated Retriever
32,80.0,27.0,Doberman Pinscher
33,67.5,23.5,English Foxhound
34,62.5,25.0,English Setter
35,82.5,24.0,German Shepherd Dog
36,65.0,23.5,German Shorthaired Pointer
37,65.0,24.0,German Wirehaired Pointer
38,72.5,26.5,Giant Schnauzer
39,65.0,22.5,Golden Retriever
40,62.5,25.0,Gordon Setter
41,65.0,28.5,Greyhound
42,65.0,26.0,Irish Setter
43,107.5,31.0,Komondor
44,67.5,22.5,Labrador Retriever
45,62.5,22.0,Old English Sheepdog (Bobtail)
46,45.0,20.0,Poodle Standard
47,77.5,25.5,Rhodesian Ridgeback
48,92.5,30.0,Scottish Deerhound
49,72.5,25.5,Spinone Italiano
50,155.0,25.0,Tibetan Mastiff
51,77.5,26.0,Weimaraner
52,45.0,23.0,Airdale Terrier
53,45.0,18.0,American Staffordshire Terrier
54,35.0,16.5,American Water Spaniel
55,40.0,18.5,Australian Cattle Dog
56,50.0,20.5,Australian Shepherd
57,45.0,14.0,Basset Hound
58,50.0,21.0,Bearded Collie
59,40.0,20.0,Border Collie
60,35.0,19.0,Brittany
61,55.0,14.0,Bull Dog
62,60.0,21.5,Bull Terrier
63,45.0,21.5,Canaan Dog
64,50.0,19.0,Chinese Shar Pei
65,50.0,20.5,Chow Chow
66,25.0,15.5,Cocker Spaniel-American
67,30.0,16.0,Cocker Spaniel-English
68,57.5,21.0,Dalmatian
69,50.0,20.0,English Springer Spaniel
